iter	Logloss
129	0.6019717852
130	0.6018914725
131	0.6018313595
132	0.6017760235
133	0.6016939257
134	0.6016385183
135	0.6015791105
136	0.6015147142
137	0.6014549946
138	0.6014067677
139	0.6013570546
140	0.6013139166
141	0.6012542023
142	0.6012079183
143	0.6011484166
144	0.6010948084
145	0.6010322161
146	0.6009969212
147	0.60094448
148	0.6009171388
149	0.6008520512
150	0.6008049259
151	0.6007587895
152	0.6007115621
153	0.6006696221
154	0.6006380835
155	0.600585207
156	0.6005447345
157	0.6005031838
158	0.6004584945
159	0.600415183
160	0.6003653257
161	0.6003278335
162	0.6002923319
163	0.6002590448
164	0.6002239345
165	0.6001613697
166	0.6001202347
167	0.6000357646
168	0.6000004862
169	0.5999713986
170	0.5999247161
171	0.5998927173
172	0.5998422001
173	0.5998046877
174	0.5997680816
175	0.5997330475
176	0.5996936032
177	0.5996605567
178	0.5996345271
179	0.5995807062
180	0.5995474001
181	0.5995132604
182	0.5994684877
183	0.5994234923
184	0.5993789679
185	0.5993354332
186	0.5992858232
187	0.599259009
188	0.599215655
189	0.5991701538
190	0.5991266842
191	0.5990894547
192	0.5990481002
193	0.5990108844
194	0.5989761607
195	0.5989435842
196	0.5988943749
197	0.598872329
198	0.5988323085
199	0.5987927658
200	0.5987619913
201	0.5987208274
202	0.5986902059
203	0.598663061
204	0.5986223771
205	0.5985777566
206	0.5985356375
207	0.5985114129
208	0.5984806994
209	0.5984270346
210	0.5983855888
211	0.5983487503
212	0.5982907548
213	0.5982427729
214	0.5981963521
215	0.5981568821
216	0.5981338474
217	0.59809596
218	0.5980593292
219	0.5980240696
220	0.5980012793
221	0.5979658783
222	0.5979160815
223	0.5978904641
224	0.597841857
225	0.5977969416
226	0.5977737319
227	0.5977370862
228	0.5977063087
229	0.5976811806
230	0.5976304036
231	0.5975799385
232	0.5975531186
233	0.5975272042
234	0.5974762766
235	0.5974494116
236	0.5974183877
237	0.5973846474
238	0.5973542478
239	0.5973215498
240	0.5972862192
241	0.5972395062
242	0.5972010417
243	0.5971673568
244	0.5971179086
245	0.597076446
246	0.5970418625
247	0.596989735
248	0.5969747042
249	0.5969474753
250	0.5968953846
251	0.5968558069
252	0.596817852
253	0.5967914793
254	0.5967687689
255	0.5967398213
256	0.5967091774
257	0.5966916296
258	0.596659664
259	0.5966259486
260	0.5965925484
261	0.5965558284
262	0.5965280176
263	0.5964923602
264	0.5964502781
265	0.5964242618
266	0.5963938635
267	0.5963639614
268	0.5963145394
269	0.5962875721
270	0.5962656998
271	0.5962250294
272	0.5961975143
273	0.5961640344
274	0.596122746
275	0.5960954233
276	0.5960668815
277	0.596024742
278	0.5959950022
279	0.5959727044
280	0.5959201118
281	0.5958744718
282	0.5958450021
283	0.5958172105
284	0.5957960869
285	0.5957628033
286	0.5957230681
287	0.595684355
288	0.5956595968
289	0.5956281443
290	0.5955754626
291	0.595547553
292	0.5955237515
293	0.5954946824
294	0.5954674652
295	0.5954294267
296	0.5954133462
297	0.5953989695
298	0.5953740956
299	0.5953306233
300	0.5952764133
301	0.595242468
302	0.5952029417
303	0.5951742522
304	0.5951494559
305	0.5951178914
306	0.5950851179
307	0.5950616485
308	0.5950399631
309	0.5950148683
310	0.5949921289
311	0.5949561983
312	0.5949254061
313	0.5948986286
314	0.594862069
315	0.5948229266
316	0.5947997965
317	0.5947533686
318	0.5947167534
319	0.594678298
320	0.5946426595
321	0.5946147736
322	0.5945942114
323	0.5945526581
324	0.5945057559
325	0.5944777101
326	0.5944427279
327	0.5944060392
328	0.5943751041
329	0.5943426248
330	0.5942950422
331	0.5942674631
332	0.5942353289
333	0.5941937157
334	0.5941666772
335	0.5941392242
336	0.5941030739
337	0.5940760347
338	0.5940365944
339	0.5939924971
340	0.5939543523
341	0.5939144467
342	0.5938831337
343	0.593845791
344	0.5938289775
345	0.5937943044
346	0.5937483915
347	0.5937145185
348	0.5936868309
349	0.5936486866
350	0.593605681
351	0.5935703808
352	0.5935296538
353	0.5935037383
354	0.5934883824
355	0.5934589059
356	0.5934239197
357	0.5933998919
358	0.5933672247
359	0.5933186805
360	0.5932982816
361	0.5932582948
362	0.5932041034
363	0.5931676986
364	0.5931379937
365	0.5931031525
366	0.5930654724
367	0.5930364197
368	0.593002402
369	0.5929626772
370	0.5929149522
371	0.5928580506
372	0.592821414
373	0.5927910165
374	0.5927522983
375	0.5927050754
376	0.5926663483
377	0.5926411968
378	0.5926256026
379	0.5925790216
380	0.5925426963
381	0.5924882352
382	0.5924414185
383	0.5923995897
384	0.5923616547
385	0.5923291076
386	0.5922892994
387	0.5922561407
388	0.5921979494
389	0.5921596772
390	0.5921306798
391	0.5920972752
392	0.5920663742
393	0.5920306985
394	0.5919847492
395	0.5919380067
396	0.5919047788
397	0.591860579
398	0.5918234913
399	0.5917913919
400	0.5917730164
401	0.5917393765
402	0.5916984908
403	0.5916635684
404	0.5916355832
405	0.5915933264
406	0.5915618408
407	0.5915229926
408	0.5914836784
409	0.5914374768
410	0.5913996411
411	0.5913530472
412	0.5913434251
413	0.5913119878
414	0.5912692146
415	0.5912326651
416	0.5911806934
417	0.591153584
418	0.5911101542
419	0.5910724256
420	0.5910398301
421	0.5909942123
422	0.5909521989
423	0.5909482606
424	0.5909166421
425	0.590874673
426	0.5908316885
427	0.5908153036
428	0.5907795892
429	0.5907247311
430	0.5906876676
431	0.5906382818
432	0.5906060016
433	0.5905573351
434	0.5905206579
435	0.5904787356
436	0.5904453094
437	0.5904095255
438	0.5903792071
439	0.5903334072
440	0.5902934514
441	0.5902484572
442	0.5902047567
443	0.5901834332
444	0.5901414947
445	0.5900974456
446	0.5900564669
447	0.5900177195
448	0.5899938134
449	0.5899676032
450	0.5899315683
451	0.5899005625
452	0.5898549258
453	0.5898156988
454	0.5897711014
455	0.5897387842
456	0.5897018148
457	0.589671358
458	0.5896329496
459	0.5895821939
460	0.5895564295
461	0.5895229693
462	0.5894907764
463	0.5894459166
464	0.5894120686
465	0.5893714757
466	0.5893352645
467	0.5893054071
468	0.5892673783
469	0.5892390038
470	0.5891996351
471	0.5891640288
472	0.5891397446
473	0.5891006641
474	0.5890588854
475	0.5890126772
476	0.5889743586
477	0.5889311176
478	0.5888994005
479	0.5888867489
480	0.5888443101
481	0.5888328979
482	0.5887942857
483	0.5887545467
484	0.5887144354
485	0.5886600782
486	0.5886308886
487	0.5885879379
488	0.5885433384
489	0.5885069932
490	0.5884580933
491	0.5884183656
492	0.5883859618
493	0.5883639479
494	0.5883267528
495	0.5882974021
496	0.588258007
497	0.5882204284
498	0.5881891935
499	0.5881552815
500	0.5881031947
501	0.5880683066
502	0.5880382989
503	0.5879966371
504	0.5879721025
505	0.5879207265
506	0.5878893605
507	0.5878531242
508	0.5878264081
509	0.5877898156
510	0.5877575259
511	0.5877132075
512	0.5876759234
513	0.5876359799
514	0.587601834
515	0.5875849682
516	0.587543985
517	0.5875185517
518	0.5874741323
519	0.5874435872
520	0.5874116973
521	0.5873866507
522	0.5873619378
523	0.5873284125
524	0.5872970663
525	0.587277317
526	0.5872537789
527	0.5872279202
528	0.5871957235
529	0.5871634891
530	0.5871193818
531	0.587085842
532	0.5870570968
533	0.5870498278
534	0.5870219369
535	0.5869916881
536	0.5869552208
537	0.5869107447
538	0.5868975883
539	0.5868483729
540	0.5868132005
541	0.5867972476
542	0.5867657887
543	0.5867363746
544	0.5866962051
545	0.5866634609
546	0.5866302349
547	0.5866018851
548	0.5865574079
549	0.5865012151
550	0.5864731386
551	0.586437048
552	0.5864062919
553	0.5863640821
554	0.586322293
555	0.5862900577
556	0.5862658918
557	0.5862234727
558	0.5861852396
559	0.5861582338
560	0.5861144783
561	0.586085579
562	0.5860462399
563	0.5860430759
564	0.5860057819
