iter	Passed	Remaining
551	10732	5599
552	10747	5577
553	10763	5556
554	10778	5534
555	10792	5512
556	10807	5491
557	10822	5469
558	10840	5449
559	10856	5428
560	10873	5407
561	10889	5386
562	10904	5365
563	10919	5343
564	10935	5322
